x,y
0.975744,0.476205
0.990678,0.667648
1.0083,0.757281
1.04678,0.765709
0.964648,0.436088
0.951593,0.431949
0.968858,0.345879
0.981166,0.272201
0.953685,0.412269
0.975422,0.46329
1.00198,0.54041
1.01023,0.554495
0.990934,0.370017
0.985479,0.440379
0.979103,0.536386
0.98491,0.55197
0.942413,0.47313
0.995118,0.657778
1.03084,0.733234
1.06708,0.734796
0.988744,0.450291
0.999969,0.640217
1.01601,0.732189
1.05416,0.742405
0.655604,0.37706
0.649227,0.344025
0.637166,0.0972462
0.650192,-0.0144723
0.610573,0.169644
0.591509,0.271307
0.567246,0.401436
0.55836,0.448433
0.695892,0.157251
0.779474,0.24622
0.805496,0.367889
0.83609,0.394158
0.634831,0.405069
0.575921,0.595229
0.557421,0.82447
0.556047,0.84496
0.680001,0.39643
0.717593,0.650805
0.579379,0.802724
0.52582,0.836728
0.653623,0.374401
0.645844,0.341423
0.631677,0.0949029
0.648945,-0.0109479
0.604739,0.166813
0.584801,0.279539
0.662005,0.338104
0.677372,0.370893
0.694802,0.157957
0.773619,0.242636
0.795349,0.354791
0.824109,0.379625
0.632363,0.402601
0.566203,0.584668
0.540897,0.816805
0.573248,0.827824
0.679015,0.395043
0.709968,0.648868
0.72925,0.827253
0.747953,0.852587
0.647214,0.367931
0.638458,0.335496
0.625182,0.0923613
0.648235,-0.0099586
0.601325,0.164696
0.581806,0.282078
0.689618,0.315215
0.73415,0.326796
0.685334,0.158625
0.766359,0.240582
0.790005,0.343133
0.815,0.363985
0.626895,0.393885
0.561775,0.582622
0.532412,0.813095
0.577493,0.819915
0.66968,0.387529
0.702771,0.645394
0.749714,0.823036
0.775196,0.844548
0.635932,0.355279
0.624764,0.323753
0.616259,0.0881051
0.647556,-0.00861257
0.594106,0.15856
0.575215,0.277047
0.711027,0.281592
0.76461,0.294735
0.683996,0.162612
0.759979,0.239056
0.783507,0.323065
0.805644,0.336613
0.61287,0.378905
0.557017,0.581961
0.523826,0.807371
0.579653,0.815013
